,屋名,地址,1)永慶房屋物件編號,2)售價,3)建物面積,4)屋齡,5)房(室),站名,6)物件與最近捷運站(已正式營運)的距離
0,劍潭邊間方正美宅,台北市士林區通河東街一段,YC1145072,"1,780 萬",建物 32.87坪,39.0年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,社正美裝大一樓,台北市士林區社正路,YC1166328,"2,680 萬",建物 31.29坪,40.5年            ,3房(室)3廳2衛            ,規劃中或未通車,NONE
0,士東路名店面,台北市士林區士東路,YC784201,"4,580 萬",建物 73.10坪,39.8年            ,4房(室)3廳2衛            ,規劃中或未通車,NONE
0,葫蘆街空間一樓,台北市士林區葫蘆街,YC1119021,"2,100 萬",建物 29.86坪,44.7年            ,1房(室)1廳1衛            ,規劃中或未通車,NONE
0,小資首選美妝兩房,台北市士林區中山北路七段,YC1133055,"1,688 萬",建物 15.60坪,33.9年            ,2房(室)2廳2衛            ,規劃中或未通車,NONE
0,劍潭美屋方正三房,台北市士林區承德路四段,YC1092532,"1,458 萬",建物 29.07坪,53.1年            ,3房(室)2廳3衛            ,捷運劍潭站出口2, 585 
0,子孫滿堂捷運三房,台北市士林區承德路四段,YC1167365,"2,680 萬",建物 44.88坪,38.4年            ,4房(室)2廳2衛            ,捷運劍潭站出口2, 533 
0,劍潭裝潢置產美屋,台北市士林區承德路四段,YC1093462,"2,280 萬",建物 41.98坪,44.2年            ,5房(室)2廳2衛            ,捷運劍潭站出口2, 585 
0,士林靜巷裝潢4房,台北市士林區中社路二段,YC1147024,"1,138 萬",建物 31.13坪,47.2年            ,4房(室)2廳2衛            ,沒有捷運站,NONE
0,雙溪國小邊間2樓,台北市士林區明溪街,YC1135029,"1,350 萬",建物 31.38坪,47.2年            ,3房(室)2廳2衛            ,沒有捷運站,NONE
0,美校稀有車庫一樓,台北市士林區中山北路六段,YC1132143,"2,750 萬",建物 38.35坪,44.3年            ,5房(室)3廳2衛            ,規劃中或未通車,NONE
0,靜巷美宅,台北市士林區葫蘆街,YC1147020,"1,050 萬",建物 19.82坪,50.5年            ,3房(室)1廳1衛            ,規劃中或未通車,NONE
0,近捷運人潮金店面,台北市士林區大北路,YC1126350,"5,500 萬",建物 58.92坪,36.3年            ,4房(室)2廳2衛            ,捷運士林站出口2, 325 
0,士林置產收租宅,台北市士林區重慶北路四段,YC1061736,"1,680 萬",建物 20.44坪,54.0年            ,6房(室)1廳5衛            ,規劃中或未通車,NONE
0,美崙邊間大公寓,台北市士林區美崙街,YC1185606,"1,850 萬",建物 28.96坪,42.3年            ,4房(室)4廳3衛            ,捷運士林站出口1, 408 
0,捷運收租公寓三樓,台北市士林區大東路,YC1165224,"2,168 萬",建物 35.92坪,46.4年            ,5房(室)0廳2衛            ,捷運劍潭站出口1, 258 
0,天母極品邊間美寓,台北市士林區芝玉路二段,YC1141800,"2,560 萬",建物 38.02坪,43.6年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
